"#","Reference","Qty","Value","Footprint","DNP"
"1","A1","1","Pololu_Breakout_A4988","Module:Pololu_Breakout-16_15.2x20.3mm",""
"2","Brd1","1","SSD1306","",""
"3","BT1, BT3","2","Battery_Cell","",""
"4","D1","1","LED","",""
"5","LS1","1","CEM-1203(42)","CUI_CEM-1203(42)",""
"6","M1","1","Stepper_Motor_bipolar","",""
"7","S1","1","B3F-1000","SW_B3F-1000",""
"8","SW2, SW3","2","SW_SPST","",""
"9","U1, U3","2","~","ESP32C3-footprint-eagle_single_device_kicad:MOUDLE14P-SMD-2.54-21X17.8MM",""
"10","U2","1","LIS3DH","Package_LGA:LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y",""
